participantId,saving_rate,educationLevel,mood_type,haveKids,date
0,0.898587434040776,HighSchoolOrCollege,sad,True,2022-03-01
0,0.8751541023491176,HighSchoolOrCollege,sad,True,2022-04-01
0,0.8628871631926476,HighSchoolOrCollege,sad,True,2022-05-01
0,0.854594975685565,HighSchoolOrCollege,sad,True,2022-06-01
0,0.7762211715227321,HighSchoolOrCollege,sad,True,2022-07-01
0,0.8764224622218374,HighSchoolOrCollege,sad,True,2022-08-01
0,0.8735920894031725,HighSchoolOrCollege,sad,True,2022-09-01
0,0.897562064525756,HighSchoolOrCollege,sad,True,2022-10-01
0,0.8638938194548481,HighSchoolOrCollege,sad,True,2022-11-01
0,0.8656330839854769,HighSchoolOrCollege,sad,True,2022-12-01
0,0.8819876793248639,HighSchoolOrCollege,sad,True,2023-01-01
0,0.8599409819772644,HighSchoolOrCollege,sad,True,2023-02-01
0,0.8943038512216716,HighSchoolOrCollege,sad,True,2023-03-01
0,0.8821534670161051,HighSchoolOrCollege,sad,True,2023-04-01
0,0.861855453299515,HighSchoolOrCollege,sad,True,2023-05-01
1,0.8137035666325119,HighSchoolOrCollege,sad,True,2022-03-01
1,0.8201545902025839,HighSchoolOrCollege,sad,True,2022-04-01
1,0.8478590704450797,HighSchoolOrCollege,sad,True,2022-05-01
1,0.8076536263684468,HighSchoolOrCollege,sad,True,2022-06-01
1,0.8196580021581253,HighSchoolOrCollege,sad,True,2022-07-01
1,0.84337519180851,HighSchoolOrCollege,sad,True,2022-08-01
1,0.8445525687098614,HighSchoolOrCollege,sad,True,2022-09-01
1,0.8366542639095933,HighSchoolOrCollege,sad,True,2022-10-01
1,0.8140163491211067,HighSchoolOrCollege,sad,True,2022-11-01
1,0.7542026599457377,HighSchoolOrCollege,sad,True,2022-12-01
1,0.8505843080200176,HighSchoolOrCollege,sad,True,2023-01-01
1,0.845130733304366,HighSchoolOrCollege,sad,True,2023-02-01
1,0.8572169364493798,HighSchoolOrCollege,sad,True,2023-03-01
1,0.8193846458955709,HighSchoolOrCollege,sad,True,2023-04-01
1,0.8257850413990402,HighSchoolOrCollege,sad,True,2023-05-01
2,0.8671933385960748,HighSchoolOrCollege,sad,True,2022-03-01
2,0.8195757306278599,HighSchoolOrCollege,sad,True,2022-04-01
2,0.8301506303502372,HighSchoolOrCollege,sad,True,2022-05-01
2,0.8273970439110174,HighSchoolOrCollege,sad,True,2022-06-01
2,0.8128057051777828,HighSchoolOrCollege,sad,True,2022-07-01
2,0.8213402004975701,HighSchoolOrCollege,sad,True,2022-08-01
2,0.8370679924023957,HighSchoolOrCollege,sad,True,2022-09-01
2,0.8083062079887082,HighSchoolOrCollege,sad,True,2022-10-01
2,0.8413086825259319,HighSchoolOrCollege,sad,True,2022-11-01
2,0.8264931494429095,HighSchoolOrCollege,sad,True,2022-12-01
2,0.8382147673403129,HighSchoolOrCollege,sad,True,2023-01-01
2,0.8114204972960484,HighSchoolOrCollege,sad,True,2023-02-01
2,0.8355189726172889,HighSchoolOrCollege,sad,True,2023-03-01
2,0.8254610118052046,HighSchoolOrCollege,sad,True,2023-04-01
2,0.8213329149561696,HighSchoolOrCollege,sad,True,2023-05-01
3,0.857693702996078,HighSchoolOrCollege,sad,True,2022-03-01
3,0.8140668931712858,HighSchoolOrCollege,sad,True,2022-04-01
3,0.7530811489793825,HighSchoolOrCollege,sad,True,2022-05-01
3,0.8220120007450294,HighSchoolOrCollege,sad,True,2022-06-01
3,0.8219491523850742,HighSchoolOrCollege,sad,True,2022-07-01
3,0.772431717051242,HighSchoolOrCollege,sad,True,2022-08-01
3,0.8250493568775892,HighSchoolOrCollege,sad,True,2022-09-01
3,0.8000467892158628,HighSchoolOrCollege,sad,True,2022-10-01
3,0.8268654140526177,HighSchoolOrCollege,sad,True,2022-11-01
3,0.831470901841835,HighSchoolOrCollege,sad,True,2022-12-01
3,0.8358786873895078,HighSchoolOrCollege,sad,True,2023-01-01
3,0.8036096570139731,HighSchoolOrCollege,sad,True,2023-02-01
3,0.8329079283516477,HighSchoolOrCollege,sad,True,2023-03-01
3,0.8122739528807882,HighSchoolOrCollege,sad,True,2023-04-01
3,0.7836103802504939,HighSchoolOrCollege,sad,True,2023-05-01
4,0.35395764440761646,Bachelors,happy,True,2022-03-01
4,0.766194194538862,Bachelors,happy,True,2022-04-01
4,0.7865293927647516,Bachelors,happy,True,2022-05-01
4,0.8096165594456202,Bachelors,happy,True,2022-06-01
4,0.7947839268665222,Bachelors,happy,True,2022-07-01
4,0.8237841962204332,Bachelors,happy,True,2022-08-01
4,0.8027967176249056,Bachelors,happy,True,2022-09-01
4,0.7809044394810536,Bachelors,happy,True,2022-10-01
4,0.8072155941158896,Bachelors,happy,True,2022-11-01
4,0.8006609138042353,Bachelors,happy,True,2022-12-01
4,0.8005955563666861,Bachelors,happy,True,2023-01-01
4,0.7996240022613151,Bachelors,happy,True,2023-02-01
4,0.8179835157527787,Bachelors,happy,True,2023-03-01
4,0.7745243070615301,Bachelors,happy,True,2023-04-01
4,0.7864810774419366,Bachelors,happy,True,2023-05-01
5,0.6419604545618565,HighSchoolOrCollege,happy,True,2022-03-01
5,0.12404165200175798,HighSchoolOrCollege,happy,True,2022-04-01
5,0.21653737489719238,HighSchoolOrCollege,happy,True,2022-05-01
5,0.09977758897431277,HighSchoolOrCollege,happy,True,2022-06-01
5,0.1975472663973724,HighSchoolOrCollege,happy,True,2022-07-01
5,0.24657111439369228,HighSchoolOrCollege,happy,True,2022-08-01
5,0.2704821713658756,HighSchoolOrCollege,happy,True,2022-09-01
5,0.24656224327871268,HighSchoolOrCollege,happy,True,2022-10-01
5,0.32757625209914054,HighSchoolOrCollege,happy,True,2022-11-01
5,0.1397694240204178,HighSchoolOrCollege,happy,True,2022-12-01
5,0.17054995715878218,HighSchoolOrCollege,happy,True,2023-01-01
5,0.20647520291332966,HighSchoolOrCollege,happy,True,2023-02-01
5,0.29508324300148825,HighSchoolOrCollege,happy,True,2023-03-01
5,0.24935325397990638,HighSchoolOrCollege,happy,True,2023-04-01
5,0.13982802193329136,HighSchoolOrCollege,happy,True,2023-05-01
6,0.5161401753763569,HighSchoolOrCollege,happy,True,2022-03-01
6,0.10650622163436141,HighSchoolOrCollege,happy,True,2022-04-01
6,0.06917247921400449,HighSchoolOrCollege,happy,True,2022-05-01
6,0.2302987832225627,HighSchoolOrCollege,happy,True,2022-06-01
6,0.10764982413751356,HighSchoolOrCollege,happy,True,2022-07-01
6,0.020723635026904774,HighSchoolOrCollege,happy,True,2022-08-01
6,0.12865416986271772,HighSchoolOrCollege,happy,True,2022-09-01
6,0.16739470739002604,HighSchoolOrCollege,happy,True,2022-10-01
6,0.09046299006090386,HighSchoolOrCollege,happy,True,2022-11-01
6,0.11978823250670922,HighSchoolOrCollege,happy,True,2022-12-01
6,0.258372510768906,HighSchoolOrCollege,happy,True,2023-01-01
